STT,Domain,Description,Key Considerations,Prompt Structure,Common Mistakes,Best Platforms
1,Marketing,Advertisements, campaigns, promotional materials,"Brand consistency, clear CTA, target audience, emotional appeal, legal compliance","[Product/Service] + [Value Proposition] + [Target Emotion] + [Style matching brand] + [Professional quality]","Generic stock photo look, off-brand colors, unclear product, busy composition, text issues","DALL-E (text), MJ (aesthetics), Flux (brand control)"
2,Social Media,Platform-specific content (Instagram, TikTok, LinkedIn),"Platform dimensions, scroll-stopping visuals, engagement-first, trend awareness, quick comprehension","[Hook visual] + [Platform aesthetic] + [Trending style] + [Optimized aspect ratio] + [Vibrant/bold]","Wrong aspect ratio, too subtle for scroll, text too small, not platform-native feel","MJ (aesthetic), DALL-E (text overlays), Flux (versatile)"
3,E-commerce,Product photography, lifestyle shots, detail images,"Clean backgrounds, accurate representation, multiple angles, lifestyle context, zoom-ready detail","[Product] + [Angle: front/45deg/detail] + [Background: white/lifestyle] + [Professional lighting] + [Sharp focus]","Unrealistic product appearance, wrong scale, poor shadows, cluttered background, text on product","MJ --style raw, SD (product LoRAs), DALL-E (describe product)"
4,Brand Identity,Logos, icons, brand assets, visual identity elements,"Scalability, simplicity, memorability, versatility, vector-ready output","[Symbol/Mark] + [Brand values] + [Simple geometric] + [Limited colors] + [Clean vector style]","Too complex, won't scale, not recognizable small, too trendy, difficult to reproduce","Claude (SVG), MJ (concept), Midjourney then vectorize"
5,Editorial,Magazine covers, article illustrations, news imagery,"Story support, emotional resonance, publication style, ethical representation","[Subject] + [Narrative context] + [Publication style] + [Dramatic/editorial lighting] + [Thoughtful composition]","Misleading imagery, inappropriate for context, too literal, lacking depth","MJ (editorial style), DALL-E (specific scenes)"
6,Web/UI Design,Hero images, backgrounds, UI illustrations, interface elements,"Web-safe, fast loading, responsive-friendly, consistent with UI, accessibility","[Purpose: hero/background/icon] + [Style matching UI] + [Web-optimized] + [Ample negative space] + [Scalable]","Too heavy/detailed, clashes with UI, poor contrast for text overlay, not responsive-friendly","MJ (backgrounds), Claude (SVG icons), Flux (illustrations)"
7,Gaming,Game assets, character art, environments, concept art,"Stylistic consistency, asset pipeline ready, game engine compatible, clear silhouettes","[Asset type] + [Game genre] + [Art style] + [Technical specs] + [Concept art quality]","Inconsistent style, poor silhouette, wrong scale for use, too realistic for stylized games","SD (LoRAs), MJ (concept), Flux (style control)"
8,Film/Video,Storyboards, concept art, VFX reference, production design,"Continuity, director's vision, practical feasibility, cinematic language","[Shot type] + [Cinematic reference] + [Mood/tone] + [Production value] + [Story moment]","Wrong aspect ratio, unrealistic for production, poor continuity, generic cinematography","MJ (cinematic), Runway/Veo (motion), DALL-E (specific scenes)"
9,Publishing,Book covers, illustrations, chapter headers, print materials,"Print resolution (300dpi), spine/bleed awareness, genre conventions, thumbnail test","[Genre signals] + [Key imagery] + [Typography space] + [Print quality] + [Thumbnail readable]","Won't work as thumbnail, wrong genre signals, no space for title, too low res","MJ (covers), DALL-E (illustrations), SD (specific styles)"
10,Education,Diagrams, illustrations, infographics, learning materials,"Clarity over beauty, accessible, appropriate complexity, culturally neutral","[Concept to illustrate] + [Educational clarity] + [Appropriate complexity] + [Clean lines] + [Accessible colors]","Too complex, culturally specific, distracting style, unclear concept visualization","DALL-E (clear concepts), Claude (diagrams), MJ (engaging style)"
11,Healthcare,Medical illustrations, wellness imagery, health communications,"Accuracy, sensitivity, compliance, reassuring tone, diverse representation","[Medical context] + [Accurate representation] + [Reassuring tone] + [Diverse subjects] + [Professional clean]","Inaccurate anatomy, insensitive imagery, scary instead of reassuring, compliance issues","DALL-E (accurate), MJ with care (aesthetic), SD (medical LoRAs)"
12,Architecture,Renderings, visualizations, concept designs, interior design,"Scale accuracy, material realism, lighting accuracy, context appropriate","[Building/space type] + [Architectural style] + [Material specification] + [Time of day] + [Render quality]","Wrong scale, unrealistic materials, poor perspective, lighting doesn't match location","MJ (visualizations), SD (architectural), Flux (control)"
13,Fashion,Lookbooks, campaign imagery, product shots, editorial fashion,"Trend awareness, garment accuracy, model diversity, brand aesthetic","[Garment] + [Styling context] + [Model type] + [Fashion photography style] + [Brand aesthetic]","Wrong fit/drape, outdated styling, limited diversity, too editorial for commercial","MJ (fashion), DALL-E (specific garments), SD (fashion LoRAs)"
14,Food & Beverage,Food photography, packaging, restaurant menus, recipes,"Appetizing appeal, accurate representation, proper styling, food safety","[Dish] + [Styling: overhead/45deg] + [Props and context] + [Food photography] + [Appetizing colors]","Unappetizing colors, wrong texture, artificial look, poor composition","MJ (food style), DALL-E (specific dishes), SD (food LoRAs)"
15,Technology,Tech products, futuristic concepts, interface mockups, innovation,"Clean modern aesthetic, accurate representation, futuristic credibility","[Tech product/concept] + [Clean modern style] + [Accurate details] + [Futuristic credibility] + [Professional render]","Unrealistic tech, dated futurism, poor UX representation, too sci-fi for realistic","MJ (tech aesthetic), DALL-E (concepts), Flux (control)"
