STT,Platform,Type,Prompt Style,Key Parameters,Syntax Examples,Strengths,Limitations,Best Practices
1,Midjourney v6.1,Image,"Descriptive phrases, comma-separated concepts, style references","--ar (aspect ratio), --style (raw/default), --stylize 0-1000, --chaos 0-100, --weird 0-3000, --quality, --seed, --no, --tile","portrait of woman, golden hour, 85mm lens --ar 2:3 --style raw --v 6.1","Artistic interpretation, coherent compositions, beautiful aesthetics, excellent at photography styles","Limited text rendering, no negative prompt param (use --no), Discord-only interface","Place important concepts first; use :: for multi-prompting (cat::2 dog::1); --style raw for photorealism; /describe for reverse prompting"
2,DALL-E 3,Image,"Natural language descriptions, paragraph form, conversational","HD quality (mention in prompt), vivid style (mention in prompt), size: 1024x1024/1792x1024/1024x1792","Create an HD image of a serene mountain lake at sunrise, with mist rising from the water and pine trees reflected in the still surface. The style should be vivid and photorealistic.","Excellent text rendering, follows complex instructions, natural language understanding, API access","No parameters, no negative prompts, content filtering, less artistic control","Be descriptive but natural; mention 'HD quality' for higher detail; specify text content, font, and placement explicitly; avoid keyword lists"
3,Stable Diffusion XL,Image,"Weighted keywords, positive/negative prompts, technical terms, LoRA references","CFG scale 5-15, steps 20-50, sampler (DPM++ 2M Karras), seed, LoRA weights, embeddings","(masterpiece:1.4), (best quality:1.3), portrait of woman, soft lighting, (sharp focus:1.2), Negative: ugly, blurry, deformed","Open source, highly customizable, LoRAs, local control, no content filter, precise control","Requires technical knowledge, hardware requirements, can produce inconsistent results","Use (word:weight) for emphasis; pair positive/negative prompts; test samplers; use quality tags; CFG 7-9 for balance"
4,Flux 1.1,Image,"Natural language, style mixing, descriptive sentences","--guidance 2-5, aspect ratio in prompt, style keywords","A stunning photograph of an alpine meadow in summer, captured with a professional camera, natural soft lighting, mountains in background, wildflowers in foreground, 16:9 aspect ratio","Excellent prompt following, natural language, good at mixing styles, fast generation","Newer platform, smaller LoRA ecosystem, fewer community resources","Use natural sentences; mention aspect ratio in text; lower guidance for creativity; be specific about camera/lens for photos"
5,Imagen 3,Image,"Descriptive natural language, detailed scene descriptions","Aspect ratio via text, style via description","A photorealistic image of a modern home office, 16:9 landscape format, soft natural lighting from large windows, minimalist Scandinavian design, warm wood tones","Strong prompt following, excellent at text, Google integration, high quality","Limited availability, API access required, content policies","Describe scenes fully; mention format in text; use photography terms for realism"
6,Veo 2,Video,"Cinematography terms, scene descriptions, motion keywords","Duration, aspect ratio, camera movements in prompt","Cinematic slow-motion shot of coffee being poured into a cup, steam rising, golden morning light, shallow depth of field, camera slowly pushes in, 16:9","Native video generation, camera movement understanding, temporal consistency","Short clips only, limited control over timing, high compute","Use cinematography terms (pan, tilt, dolly); describe motion explicitly; specify duration; mention camera movements"
7,Runway Gen-3,Video,"Scene description with motion, temporal keywords, style references","Duration 4-18s, aspect ratio, motion amount","Aerial drone shot flying over a misty forest at dawn, slowly revealing a hidden lake, cinematic color grading, smooth continuous motion","Good motion quality, style transfer, image-to-video, extend clips","Processing time, credits-based, limited duration","Describe movement direction and speed; use 'slowly', 'smoothly' etc.; start with strong first frame"
8,Gemini Imagen,Image,"Narrative paragraphs, conversational descriptions, multi-image context","32K context, aspect ratios via text, thinking mode for complex","Please create an image of a cozy reading nook in a bay window. The scene should have warm afternoon light streaming in, comfortable cushions in earth tones, a stack of leather-bound books, and a steaming cup of tea. The style should feel like a watercolor illustration with soft edges.","Large context window (32K), multi-image input (up to 14), search grounding, thinking mode","Google ecosystem required, content policies, less artistic styles","Use narrative descriptions; ALL CAPS for critical requirements; Markdown lists for rules; photography terms improve quality"
9,Claude Artifacts,Code/SVG,"Technical specifications, component requirements, design system references","Artifacts for code, SVG, React components","Create an SVG icon for a settings gear with 8 teeth, 24x24 viewBox, stroke-width 2, using currentColor for flexibility. Include proper accessibility attributes.","Perfect for code, diagrams, SVGs, technical accuracy, reasoning about design","Not image generation, limited to code/SVG/diagrams","Specify exact dimensions; mention accessibility; provide design system context; request semantic markup"
10,Nano Banana,Image,"Narrative style, photography terms, hex colors for precision, multi-image reference","32K context, aspect ratios, thinking mode, up to 14 reference images","Captured with 85mm lens, soft bokeh background, natural lighting, subject: professional woman in business casual, color accent #9F2B68 magenta","Gemini-based, massive context, hex color precision, complex prompts, multi-image input","Google API required, content moderation","ALL CAPS for critical elements; hex codes for exact colors; mention lens/camera specs; can reference multiple input images"
