STT,Subject Type,Category,Prompt Modifiers,Detail Keywords,Common Issues,Tips
1,Human Portrait,People,"age (young/middle-aged/elderly), ethnicity, gender expression, emotional state, attire","detailed face, expressive eyes, natural skin texture, subtle wrinkles, individual pores, realistic hair strands","distorted hands, extra fingers, asymmetric face, uncanny valley, wrong eye direction","Specify age and ethnicity if important; mention hand position explicitly; use 'looking at camera' for eye contact; add 'realistic skin' for photorealism"
2,Full Body Human,People,"body type, pose (standing/sitting/dynamic), clothing style, context/setting","anatomically correct, natural pose, proper proportions, realistic fabric, natural stance","extra limbs, wrong proportions, floating, awkward pose, disconnected limbs","Describe pose in detail; mention ground/surface; specify clothing completely; use reference poses like 'contrapposto' or 'T-pose'"
3,Hands Close-up,People,"gesture, finger position, nail style, accessories (rings), activity","five fingers, anatomically correct hands, natural finger positions, realistic knuckles","extra fingers, merged fingers, wrong thumb position, impossible bends","Always specify 'five fingers'; describe exact gesture (holding pen, pointing); mention 'anatomically correct hands' explicitly; use negative prompts for deformities"
4,Group of People,People,"number of people, arrangement, interaction, relationship, diversity","distinct faces, proper spacing, natural grouping, individual characteristics","face merge, clone faces, wrong count, floating people, overlapping bodies","Specify exact number; describe positions (standing behind, sitting next to); mention each person's distinguishing features; use 'diverse group' if needed"
5,Animal Portrait,Animals,"species, breed, age, expression, pose, setting","detailed fur/feathers/scales, expressive eyes, natural anatomy, realistic texture","wrong anatomy, human-like features, distorted proportions, incorrect markings","Research breed-specific features; mention texture (fluffy, smooth, spotted); describe eyes and expression; use species-specific terms"
6,Wildlife Action,Animals,"species, action, environment, time of day, weather","dynamic pose, motion blur appropriate, natural behavior, habitat accuracy","frozen motion, unnatural pose, wrong habitat, domestic behavior in wild animals","Describe specific action (hunting, flying, running); mention habitat; use 'wildlife photography' + lens specs; include environmental context"
7,Fantasy Creature,Creatures,"creature type, size reference, features, personality, hybrid elements","detailed scales/fur/wings, glowing elements, magical effects, anatomical consistency","inconsistent features, wrong scale, unclear anatomy, conflicting elements","Provide size reference (as tall as a horse); describe hybrid elements clearly; mention texture for each body part; specify magical elements"
8,Architecture Exterior,Architecture,"building type, style, era, condition, time of day, weather","detailed facade, accurate proportions, realistic materials, proper perspective","distorted perspective, floating elements, wrong scale, anachronistic elements","Specify architectural style (Gothic, Modernist); mention materials (brick, glass); describe lighting and weather; include surrounding context"
9,Interior Design,Architecture,"room type, style, color scheme, lighting, furniture arrangement","realistic textures, proper scale, natural lighting, cohesive design","impossible physics, floating furniture, wrong proportions, inconsistent style","Describe room purpose; mention specific furniture pieces; specify light sources (window, lamp); include color palette or style (Scandinavian, Industrial)"
10,Product Packshot,Product,"product type, angle, background, lighting setup, brand style","pristine condition, sharp edges, accurate reflections, professional lighting","dirty/scratched appearance, wrong reflections, distorted shape, unrealistic shadows","Specify exact angle (45-degree, front-facing); describe background (white, gradient); mention 'commercial photography' + 'studio lighting'"
11,Food Photography,Product,"dish type, cuisine, plating style, props, background","appetizing colors, realistic textures, proper steam/moisture, natural garnish","unappetizing colors, wrong textures, plastic look, unnatural arrangement","Use food photography terms; mention 'food styling'; describe textures (crispy, juicy, creamy); include appropriate props (utensils, napkin)"
12,Tech Product,Product,"device type, angle, screen content, environment, lifestyle context","sleek surfaces, accurate reflections, realistic screen, proper branding space","distorted screens, wrong proportions, unrealistic reflections, visible logos issues","Show device in use context; describe screen content if visible; mention 'product photography' + 'studio lighting'; be careful with text on screens"
13,Nature Landscape,Landscape,"terrain type, time of day, season, weather, focal point","dramatic sky, layered depth, natural colors, atmospheric perspective","flat composition, unrealistic colors, scale issues, anachronistic elements","Use landscape photography terms; specify time of day (golden hour, blue hour); describe foreground, midground, background; mention weather conditions"
14,Urban Cityscape,Landscape,"city/style, time of day, weather, aerial or street level, mood","architectural detail, city lights, atmospheric haze, realistic scale","repetitive buildings, wrong architecture style, perspective issues, empty streets","Specify city or architectural style; mention vantage point; describe lighting (neon, street lamps); include human elements for scale"
15,Abstract Art,Abstract,"shapes, colors, texture, movement, emotion, style reference","flowing forms, color harmony, textural variation, balanced composition","muddy colors, lack of focal point, chaotic without intention, generic patterns","Specify color palette; describe movement or flow; reference art movements (Abstract Expressionism); mention texture (smooth, layered, impasto)"
16,Text/Typography,Text,"font style, size, color, placement, background, effect","sharp edges, consistent letterforms, readable, proper kerning","illegible text, wrong letters, inconsistent font, bleeding edges","For DALL-E: describe font, size, exact text, placement; For MJ: use text in quotes, keep short; For SD: use ControlNet for text"
