Style,Tone,Delivery,Pacing,Pitch,Energy,Best_For,Example_Brands,Direction_Keywords,Platform_Adaptation
Conversational Friendly,"Warm, relatable, like chatting with a friend","Natural pace, informal language, intimate feel","Moderate, natural pauses, breathing room","Mid-range, varied naturally","Medium, engaged but not hyped","Lifestyle, community, how-to, approachable brands","Glossier, Airbnb, Casper","warm, friendly, natural, relatable, intimate, casual, approachable, down-to-earth, genuine","TikTok: Raw casual | YouTube: More polished | Instagram: Polished-casual hybrid"
Authoritative Expert,"Commanding, credible, professional, trusted","Firm clarity, measured pace, confident assertions","Measured, deliberate, unhurried","Lower register, steady","Calm confidence, gravitas","Finance, legal, healthcare, B2B, professional services","McKinsey, Goldman Sachs, Mayo Clinic","confident, credible, expert, authoritative, professional, knowledgeable, trustworthy, commanding, assured","LinkedIn: Professional | YouTube: Documentary style | Podcast: Informative conversational"
Inspirational Motivational,"Uplifting, aspirational, emotionally moving","Dynamic energy, powerful cadence, belief-driven","Building momentum, dynamic variation","Rises through key moments","High at peaks, intimate at valleys","Sports, wellness, self-help, non-profits, causes","Nike, Peloton, charity campaigns","inspiring, powerful, uplifting, passionate, moving, aspirational, triumphant, emotional, motivating","TV/YouTube: Full production | Social: Quick punchy | Podcast: Story-driven"
Formal Professional,"Direct, professional, measured, serious","Clear enunciation, structured, moderate pace","Even, predictable, structured","Mid-range, minimal variation","Consistent, controlled, steady","Corporate comms, compliance, training, institutional","IBM corporate, financial disclosures","professional, formal, clear, direct, measured, proper, polished, corporate, institutional","LinkedIn: Native | YouTube: Corporate | Compliance: Precise"
Playful Humorous,"Light, witty, amusing, energetic","Quick pace, comic timing, personality-driven","Quick, comedic beats, timing-dependent","Varied for comedy effect","High, animated, expressive","Consumer goods, entertainment, youth brands","Old Spice, Skittles, Geico","fun, witty, playful, energetic, cheeky, humorous, light, entertaining, quirky","TikTok: Trending style | YouTube: Character-driven | TV: Broad appeal"
Hushed Intimate,"Soft, whispered, ASMR-like, sensual","Gentle, close-mic, breathy quality","Slow, deliberate pauses","Low, soft register","Low, intimate, personal","Luxury, beauty, wellness, premium products","Dior, high-end skincare","hushed, intimate, whispered, sensual, gentle, soft, close, personal, luxurious","Instagram: Stories | YouTube: Product reveals | ASMR content"
Dramatic Narrator,"Epic, cinematic, storytelling, powerful","Grand delivery, theatrical timing","Varied, building to crescendos","Deep, resonant","Rises and falls dramatically","Film trailers, premium brands, sports","Nike epic campaigns, movie trailers","epic, dramatic, powerful, grand, cinematic, storytelling, resonant, theatrical, commanding","TV/YouTube: Full production | Social: Teaser cuts"
Youthful Energetic,"Excited, enthusiastic, high-energy","Fast pace, upbeat delivery","Quick, no dead air","Higher, varied","Very high, enthusiastic","Youth brands, gaming, entertainment, Gen Z","Energy drinks, gaming brands","excited, energetic, youthful, enthusiastic, pumped, hyped, dynamic, vibrant, upbeat","TikTok: Native | Instagram Reels: Trend-driven | YouTube: Gaming/entertainment"
Calm Reassuring,"Soothing, comforting, trustworthy","Even, gentle, supportive","Slow, calming","Mid-low, steady","Low, peaceful","Healthcare, insurance, wellness, security","Insurance ads, healthcare","calm, soothing, reassuring, comforting, supportive, gentle, peaceful, secure, trustworthy","YouTube: Explainers | TV: Emotional | Healthcare: Compliance-friendly"
Deadpan Dry,"Ironic, understated, clever, flat","Minimal inflection, matter-of-fact","Even, deliberate pauses for effect","Flat, minimal variation","Low, controlled","Tech, SaaS, witty brands, young professionals","Cards Against Humanity, Mailchimp","deadpan, dry, ironic, understated, clever, flat, matter-of-fact, wry, sardonic","Social: Short clips | YouTube: Longer form | Podcast: Conversational"
Real Customer,"Authentic, unscripted, genuine, testimonial","Natural speech patterns, imperfect","Varies, natural","Natural, uncontrolled","Genuine, varied","UGC, testimonials, community, DTC","Glossier user content, Airbnb reviews","real, authentic, genuine, testimonial, unscripted, natural, honest, relatable, customer-voice","TikTok: Native | Instagram: Polished authentic | YouTube: Documentary style"
AI/Tech Voice,"Clean, precise, futuristic, neutral","Clear articulation, consistent","Even, measured","Neutral, consistent","Controlled, efficient","Tech products, AI assistants, futuristic","Siri-style, tech announcements","clean, precise, tech, neutral, futuristic, articulate, consistent, modern, digital","Product demos | Tech launches | UI/UX audio"
