Platform,Ratio,Length_Short,Length_Long,Hook_Time,Style_Notes,Audio,Best_Styles,Content_Types,Audience,Avoid
TikTok,9:16,15s,60s,3s,"Raw authentic preferred, trending sounds, captions required","Trending sounds, popular music, voiceover","Raw Unpolished, Authentic UGC, Humor Comedic, Nostalgic 90s, Bold Color Clash","Challenges, tutorials, behind-scenes, reactions, trends","Gen Z, Millennials, 18-34","Overly polished, corporate, long intros"
Instagram Reels,9:16,15s,90s,3s,"Polished-authentic hybrid, music-driven, aesthetic focus","Trending audio, original audio, music","Minimalist Clean, Pastel Soft, Gradient Smooth, Lifestyle Aspirational, Authentic UGC","Tutorials, reveals, aesthetic content, product showcases","Millennials, Gen Z, 18-44","Text-heavy, corporate, no visual hook"
Instagram Stories,9:16,5s,15s,1s,"Immediate hook, swipe CTA, ephemeral feel, interactive elements","Music, voiceover, sounds","Bright Cheerful, Authentic UGC, Behind The Scenes, Raw Unpolished","Polls, questions, quick updates, flash sales","Existing followers, engaged audience","Long content, complex messages, no CTA"
Instagram Feed,1:1 4:5,10s,60s,3s,"High quality, curated aesthetic, brand consistency","Optional, often silent-optimized","Minimalist Clean, Quiet Luxury, Lifestyle Aspirational, Monochromatic","Product photos, carousels, branded content","Millennials, 25-44","Low quality, inconsistent aesthetic"
YouTube Shorts,9:16,15s,60s,3s,"Thumbnail optional, loop-friendly, satisfying content","Music, voiceover, ASMR","Cinematic Documentary, Humor Comedic, Emotional Storytelling, Behind The Scenes","Tutorials, facts, entertainment, reactions","Broad, all ages","Long intros, no payoff, clickbait"
YouTube Long,16:9,30s,10m+,30s,"Story arc, high production, chapter markers, detailed content","Full audio production, music, voiceover","Cinematic Documentary, Emotional Storytelling, Authoritative Expert, Inspirational Motivational","Tutorials, vlogs, documentaries, reviews","Broad, intent-driven, 18-54","Clickbait, poor audio, no value delivery"
LinkedIn,1:1 4:5,30s,2m,5s,"Professional value-first, educational, thought leadership","Professional voiceover, subtle music","Authoritative Expert, Corporate Modern, Data Visualization, Clean Infographic","Thought leadership, case studies, tips, industry insights","Professionals, B2B, 25-54","Casual, trendy, sales-heavy, memes"
LinkedIn Native Video,16:9 1:1,30s,10m,5s,"Captions required, professional quality, educational focus","Clear voiceover, minimal music","Authoritative Expert, Inspirational Motivational, Corporate Modern","Interviews, expert tips, company culture, announcements","Decision makers, professionals","Poor audio, no captions, hard sell"
Twitter/X,16:9 1:1,15s,2m20s,3s,"Quick takes, conversation starters, news-jacking","Music optional, captions required","Minimalist Tech, Humor Comedic, Data Visualization, Kinetic Typography","Hot takes, threads, announcements, reactions","News consumers, tech, 25-54","Long form, polished ads, promotional"
Facebook,16:9 1:1 4:5,15s,3m,5s,"Captions essential, shareable, emotional resonance","Music, voiceover","Emotional Storytelling, Bright Cheerful, Authentic UGC, Family content","Shareable content, local, community, how-to","35+, families, broad","Gen Z trends, edgy content, niche"
Facebook Reels,9:16,15s,90s,3s,"Similar to IG Reels, slightly older demographic","Trending sounds, music","Bright Cheerful, Humor Comedic, Behind The Scenes","Entertainment, relatable content, how-to","30+, broader than TikTok","Gen Z specific, niche subcultures"
Pinterest,2:3 1:1,6s,60s,2s,"Inspirational, searchable, save-worthy, aesthetic","Subtle music, often silent","Lifestyle Aspirational, Earthy Organic, Pastel Soft, Minimalist Clean","How-to, inspiration, product pins, ideas","Women 25-44, planners","Ugly visuals, clickbait, non-visual"
Snapchat,9:16,3s,10s,1s,"Immediate, raw, AR features, disappearing","Native sounds, effects","Raw Unpolished, Neon Cyber, Festival Vibrant, Authentic UGC","Filters, quick promos, flash content","Gen Z, 13-24","Polished, long content, corporate"
TV/OTT,16:9,15s,60s,5s,"High production, sound-on designed, broadcast quality","Full audio production, music","Cinematic Documentary, Inspirational Motivational, Emotional Storytelling","Brand films, commercials, sponsorships","Broad, mass market","Lo-fi, user-generated, niche"
Podcast Ads,Audio,15s,60s,N/A,"Host-read preferred, conversational, integrated","Voice only, minimal music","Conversational Casual, Authoritative Expert, Humor Comedic","Mid-roll, pre-roll, host endorsements","Podcast listeners, niche audiences","Hard sell, complex CTAs, poor audio"
Digital Display,Various,5s,15s,0s,"Eye-catching, simple message, clear CTA, animated GIF/HTML5","Silent, music optional","Minimalist Tech, Bold Color Clash, Gradient Smooth, Kinetic Typography","Banners, interstitials, native ads","Varies by placement","Complex, too much text, slow loading"
CTV/Streaming,16:9,6s,30s,3s,"Non-skippable aware, high quality, sound-on","Full production audio","Cinematic Documentary, Bright Cheerful, Emotional Storytelling","Pre-roll, mid-roll, sponsored content","Streaming viewers, cord-cutters","Low quality, boring first 6s"
Email,Various,GIF 3s,Video 30s,1s,"Preview-friendly, accessible, fallback image","Optional, often silent","Minimalist Clean, Kinetic Typography, Clean Infographic","Announcements, tutorials, product features","Email subscribers","Auto-play audio, heavy files, no fallback"
