No,Category,Style_Priority,Color_Mood,Music_Mood,VO_Style,Key_Effects,Platform_Priority,Audience_Age,Decision_Rules,Anti_Patterns,Severity
1,SaaS Product Launch,"Gradient Smooth + Minimalist Tech",Tech blue + Clean accent,Ambient electronic + Building,Modern clean confident,"Smooth transitions, interface demos, feature reveals","YouTube Long, LinkedIn, Twitter/X","25-54 professionals","{""if_demo_heavy"": ""add-screen-recordings"", ""if_b2b"": ""emphasize-roi""}","Overly playful, UGC style, loud music",HIGH
2,Consumer Product Launch,"Lifestyle Aspirational + Bright Cheerful",Vibrant brand + Warm,Upbeat pop + Trending,Energetic friendly,"Product reveals, lifestyle shots, unboxing","Instagram, TikTok, YouTube","18-44 consumers","{""if_premium"": ""switch-to-quiet-luxury"", ""if_gen_z"": ""add-ugc-elements""}","Corporate tone, dark moody, slow pacing",HIGH
3,Brand Awareness,"Emotional Storytelling + Cinematic Documentary",Brand colors + Emotional warmth,Orchestral + Building emotional,Warm genuine inspiring,"Narrative arc, real people, emotional beats","YouTube Long, TV/OTT, Facebook","Broad 25-54","{""if_cause_driven"": ""increase-authenticity"", ""if_premium"": ""cinematic-quality""}","Sales focus, product-heavy, hard CTA",HIGH
4,Lead Generation,"Authoritative Expert + Data Visualization",Trust blue + Professional,Corporate subtle + Confident,Professional measured expert,"Data graphics, expert quotes, proof points","LinkedIn, YouTube, Email","B2B decision makers 30-54","{""must_have"": ""clear-value-prop"", ""if_complex"": ""simplify-message""}","Playful tone, trendy music, casual style",HIGH
5,E-commerce Conversion,"Bold Color Clash + Bright Cheerful",Vibrant + Urgency orange,Upbeat energetic,Friendly urgent persuasive,"Product close-ups, social proof, urgency","Instagram, TikTok, Facebook","Shoppers 18-44","{""if_luxury"": ""switch-to-quiet-luxury"", ""if_flash_sale"": ""add-urgency""}","Slow reveals, complex messaging, no CTA",HIGH
6,Community Building,"Authentic UGC + Behind The Scenes",Warm authentic + Brand accent,Lo-fi beats + Trending sounds,Conversational genuine,"Real customers, BTS content, user stories","TikTok, Instagram, Facebook Groups","Community members, engaged fans","{""must_have"": ""real-people"", ""if_testimonial"": ""let-users-speak""}","Polished corporate, scripted, actor-heavy",HIGH
7,Thought Leadership,"Authoritative Expert + Corporate Modern",Navy + Gold accents,Subtle orchestral + Confident,Expert authoritative measured,"Data overlays, expert interviews, insights","LinkedIn, YouTube, Podcast","Executives, professionals 35-60","{""must_have"": ""credentials-visible"", ""if_data_heavy"": ""visualize-stats""}","Trendy music, casual tone, Gen Z style",HIGH
8,Recruitment/Employer Brand,"Behind The Scenes + Lifestyle Aspirational",Brand colors + Warm,Upbeat positive + Authentic,Friendly warm genuine,"Team footage, culture shots, real employees","LinkedIn, Instagram, YouTube","Job seekers 22-40","{""must_have"": ""real-employees"", ""if_tech"": ""show-workspace""}","Stock footage, scripted, overly corporate",MEDIUM
9,Gen Z Campaign,"Raw Unpolished + Nostalgic 90s",Neon + Trending colors,Trending sounds + Lo-fi,Casual authentic relatable,"Jump cuts, memes, trends, unpolished","TikTok, Instagram Reels, Snapchat","Gen Z 16-25","{""must_have"": ""platform-native"", ""if_brand"": ""subtly-integrate""}","Corporate polish, scripted, old trends",HIGH
10,Millennial Campaign,"Conversational Casual + Lifestyle Aspirational",Warm + Aspirational,Indie acoustic + Chill pop,Friendly warm relatable,"Lifestyle shots, humor, authenticity","Instagram, YouTube, TikTok","Millennials 26-40","{""if_nostalgia"": ""add-90s-elements"", ""if_values"": ""show-authenticity""}","Too corporate, too Gen Z, inauthentic",MEDIUM
11,Gen X/Boomer Campaign,"Emotional Storytelling + Cinematic Documentary",Warm traditional + Trust,Classic rock + Orchestral,Trustworthy warm experienced,"High production, storytelling, family","Facebook, YouTube, TV","Gen X/Boomers 45+","{""must_have"": ""clear-audio"", ""if_tech"": ""simplify-ui""}","TikTok trends, slang, low production",MEDIUM
12,Healthcare,"Emotional Storytelling + Pastel Soft",Calm blue + Health green,Gentle piano + Reassuring,Warm reassuring professional,"Real patients, gentle transitions, trust","YouTube, Facebook, TV","Patients, caregivers 35+","{""must_have"": ""compliance-reviewed"", ""must_have"": ""accessible""}","Bright neon, fast cuts, trendy music",HIGH
13,Finance/Banking,"Authoritative Expert + Minimalist Clean",Navy + Gold + Trust blue,Subtle confident + Professional,Professional trustworthy confident,"Clean graphics, security indicators, data","YouTube, LinkedIn, TV","Adults 30+, professionals","{""must_have"": ""compliance-approved"", ""must_have"": ""trust-signals""}","Playful, trendy, UGC style, casual",HIGH
