No,Style,Keywords,Color_Palette,Ideas,Signature_Effects,BG_Music,VO_Style,Purpose,Best_For,Avoid_For
1,Minimalist Clean,"minimal, whitespace, elegant, simple, refined, essential","White, light gray, one accent","Product hero shots, clean layouts, single focal point","Generous negative space, thin lines, geometric shapes","Ambient piano, soft electronic","Calm, measured, sophisticated","Luxury, SaaS, premium services","Premium brands, tech products, luxury goods, professional services","Youth brands, entertainment, playful products"
2,Maximalist Bold,"vibrant, layered, eclectic, bold, energetic, chaotic","Bright multi-color, neon accents, clashing","Pattern mixing, dense composition, oversized type","Overlapping elements, texture mixing, bold typography","Upbeat pop, electronic dance","Energetic, fast-paced, playful","Fashion, entertainment, youth","Gen Z, fashion, entertainment, social media","B2B, finance, healthcare, conservative"
3,Quiet Luxury,"understated, sophisticated, whisper, refined, expensive","Muted neutrals, cream, soft beige, charcoal","Simple product shots, extensive space, premium materials","Ultra-clean, material textures, subtle shadows","Classical strings, soft jazz","Hushed, intimate, refined","High-end goods, heritage brands","Luxury goods, premium services, heritage brands","Mass market, budget products, youth"
4,Nostalgic 80s,"retro, neon, synthwave, vintage, geometric, VHS","Neon pink #FF1493, cyan #00FFFF, purple #8B00FF, black","Geometric patterns, grid lines, chrome text","VHS grain, scan lines, chrome/metallic text","Synthwave, 80s pop","Bold, announcer-style, dramatic","Tech, gaming, youth brands","Gaming, tech, retro campaigns, Gen X/Millennial","Luxury, healthcare, B2B corporate"
5,Nostalgic 90s,"Y2K, grunge, chunky, metallic, gradient","Silver, purple gradients, bright blue, lime","Grunge textures, chunky fonts, bubble shapes","Chrome gradients, lens flare, pixelated edges","90s pop, grunge rock","Casual, ironic, playful","Fashion, beauty, Gen Z","Fashion, beauty, Gen Z nostalgia, trend-driven","Conservative brands, elderly, B2B"
6,Futuristic Sci-Fi,"sleek, tech, advanced, metallic, space-age","Silver, chrome, electric blue #0080FF, black","Geometric precision, tech interfaces, space imagery","Metallic gradients, holographic effects, clean lines","Ambient electronic, sci-fi score","Calm authority, tech-forward","Tech, AI products, gaming","AI/ML products, tech startups, sci-fi themes","Traditional, organic, handmade"
7,Cyberpunk Digital,"dark, neon, digital, dystopian, glitch","Neon pink #FF006E, cyan #00FFFF on black, purple","Dark cityscapes, digital overlays, tech decay","Glitch effects, neon glow, pixel distortion","Dark electronic, industrial","Edgy, intense, dystopian","Gaming, tech, edgy brands","Gaming, tech, counter-culture, edgy brands","Family, wellness, conservative"
8,Retro-Futurism,"vintage-future, space-age, analog-digital","Orange, teal, warm metallics","70s sci-fi aesthetic, vintage tech, warm future","Film grain, lens flare, warm color grading","Disco, space-age lounge","Warm, optimistic, nostalgic","Creative industries, music","Music, creative agencies, entertainment","Healthcare, finance, B2B"
9,Emotional Storytelling,"authentic, real, heartfelt, human, connection","Warm earth tones, soft natural light","Real people, candid moments, narrative arc","Natural lighting, shallow DOF, intimate framing","Acoustic guitar, piano ballad","Warm, conversational, genuine","Non-profits, wellness, causes","Non-profits, healthcare, wellness, family brands","Tech specs, B2B, fast-paced"
10,Cinematic Documentary,"epic, film, narrative, dramatic, production","Deep blues, cinematic orange, rich shadows","Wide shots, narrative structure, dramatic lighting","Film color grade, letterbox, dramatic shadows","Orchestral, cinematic score","Dramatic, narrator, inspiring","Premium brands, sports","Sports brands, premium products, story-driven","Quick promos, social media, budget"
11,Humor Comedic,"funny, absurd, exaggerated, silly, surprising","Bright, saturated, varies by joke","Absurd scenarios, unexpected twists, character comedy","Quick cuts, comedic timing, reaction shots","Upbeat, comedic timing music","Over-the-top, comedic delivery","Consumer goods, FMCG","FMCG, snacks, beverages, entertainment","Luxury, B2B, serious topics"
12,Sarcasm Witty,"clever, ironic, smart, self-aware, sharp","Clean, modern, often minimalist base","Wordplay visuals, self-aware moments, smart refs","Clean design with clever copy, deadpan delivery","Quirky indie, subtle","Deadpan, dry, intelligent","Tech, SaaS, young professionals","SaaS, tech, millennial professionals","Conservative, elderly, mass market"
13,Conversational Casual,"friendly, relatable, everyday, warm, approachable","Warm, friendly pastels, earth tones","Everyday scenarios, first-person POV, casual settings","Natural lighting, handheld feel, informal framing","Indie acoustic, lo-fi beats","Friendly, like talking to friend","Community, lifestyle brands","Lifestyle, community brands, DTC","Luxury, corporate, B2B formal"
14,Authoritative Expert,"commanding, credible, professional, trusted, expert","Navy, dark gray, white, gold accents","Data visualizations, credentials, expert interviews","Clean graphics, data overlays, professional lighting","Corporate, subtle orchestral","Confident, measured, expert","Finance, legal, B2B, health","Finance, legal, healthcare, B2B enterprise","Youth, entertainment, casual"
