No,Niche,Keywords,Recommended Styles,Primary Colors,Typography,Common Elements,Mood,Best Practices,Avoid
1,Tech,technology gadget review software AI coding,Product Showcase Minimalist Screenshot,"#1A1A2E #0F3460 #E94560 #16213E",Inter Roboto bold sans-serif,Product hero device screenshot clean bg,Professional innovative clean,Show the product clearly use dark bg for premium feel,Cluttered layouts too many products
2,Gaming,game play stream esports walkthrough,Dark Dramatic Reaction Facecam,"#FF0055 #00FF88 #7B2FBE #0D0D0D",Impact bold condensed,Character art gameplay screenshot glow effects,Intense exciting energetic,Use neon accents dark backgrounds show gameplay or character,Plain backgrounds corporate look
3,Education,learn teach course tutorial how-to explain,Tutorial Before-After Bold Text,"#2196F3 #4CAF50 #FF9800 #FFFFFF",Open Sans Montserrat clear,Diagrams step previews clean layout instructor face,Clear trustworthy helpful,Show what they will learn use clean readable layout,Complex visuals tiny text
4,Cooking,recipe food cook kitchen meal chef,Before-After Product Showcase Bright Pop,"#FF6B35 #F7931E #C1272D #FFF3E0",Playfair Display rounded bold,Food hero shot ingredients before-after plate,Appetizing warm inviting,Show finished dish use warm colors food fills frame,Cold colors cluttered bg
5,Fitness,workout gym exercise health body muscle,Before-After Facecam Bold Text,"#FF4444 #FF8800 #222222 #00C853",Oswald condensed bold,Transformation results action shot body,Motivating powerful dynamic,Show results use high-contrast action poses,Sedentary imagery complicated text
6,Business,entrepreneur money startup marketing SaaS,Minimalist Bold Text Listicle,"#1B365D #2E86AB #F18F01 #FAFAFA",SF Pro Helvetica clean sans,Charts numbers money symbols clean layout,Professional authoritative,Use numbers show results clean professional look,Flashy colors meme style
7,Travel,travel vlog destination adventure explore,Cinematic Before-After Bright Pop,"#00B4D8 #48CAE4 #F77F00 #023E8A",Poppins elegant serif,Stunning landscape location text flag,Wanderlust epic beautiful,Use best landscape shot location name as text,Indoor shots generic stock
8,Beauty,makeup skincare beauty routine glow,Before-After Facecam Product Showcase,"#FFB6C1 #FF69B4 #9B59B6 #FFFFFF",Playfair Display elegant,Close-up face product result skin,Glamorous aspirational clean,Show transformation or product result use soft lighting,Harsh lighting cluttered
9,Entertainment,funny comedy skit prank reaction,Reaction Meme Facecam Mystery,"#FF0000 #FFFF00 #FF6600 #000000",Impact bold heavy,Exaggerated expression meme format subject,Fun shocking entertaining,Exaggerated expressions bright colors high energy,Subtle calm corporate
10,Music,song cover producer beat instrument,Cinematic Dark Dramatic Minimalist,"#9B59B6 #3498DB #E74C3C #1A1A1A",Custom stylized display,Artist photo instrument waveform album art,Creative artistic expressive,Show artist or instrument use moody dramatic lighting,Boring static plain photos
11,DIY,craft handmade maker build create project,Before-After Tutorial Bright Pop,"#8BC34A #FF9800 #795548 #FFFFFF",Quicksand rounded friendly,Project result tools materials process,Creative hands-on satisfying,Show finished result clearly use bright warm colors,Dark moody professional
12,Finance,money invest crypto stock budget,Bold Text Listicle Minimalist,"#2C3E50 #27AE60 #F39C12 #ECEFF1",Roboto Mono clean sans,Dollar signs charts numbers growth arrow,Trustworthy urgent data-driven,Use numbers and data show growth or results,Flashy unprofessional cartoon
