No,Style Name,Category,Keywords,Background,Typography,Key Elements,Best For,Avoid For,Complexity,CTR Impact
1,Facecam,People,"face, expression, emotion, reaction, vlog, personality",Solid color or gradient,Bold sans-serif 80px+,"Expressive face closeup, 1-3 words, solid/gradient bg",Vlogs reactions reviews commentary,Faceless channels product-only content,Low,High
2,Before-After,Transformation,"split, comparison, result, transformation, glow-up",Split layout two halves,Bold with arrow indicator,"Two contrasting images, arrow or divider, transformation text",Tutorials makeovers fitness weight-loss,Abstract topics opinion pieces,Medium,High
3,Listicle,Numbered,"top, best, list, ranking, number, countdown",Clean with number overlay,Extra-bold number 200px+,"Large number as hero element, small preview grid",Top-N videos rankings compilations,Single-topic deep dives,Low,High
4,Tutorial,Educational,"how-to, step, guide, learn, teach, DIY",Clean light or dark,Clear readable sans-serif,"Step preview screenshot, tool/subject, clean layout",How-to educational DIY guides,Entertainment vlogs gaming,Medium,Medium
5,Reaction,Commentary,"surprised, shocked, OMG, react, response",Subject image or screenshot,Bold caps with stroke,"Exaggerated facial expression, subject being reacted to",Commentary reactions drama news,Professional educational,Low,High
6,Cinematic,Visual,"film, movie, travel, documentary, epic, mood",Full-bleed photo cinematic crop,Minimal or none,"Widescreen letterbox, moody lighting, atmospheric",Travel documentary film storytelling,Quick tips listicles,High,Medium
7,Bold Text,Typography,"text, statement, opinion, headline, news",Solid dark or bright,Oversized fills 60% of frame,"Text as primary element, minimal imagery",Opinion hot-takes news announcements,Visual tutorials product reviews,Low,Medium
8,Mystery,Curiosity,"blur, hidden, question, secret, reveal, shocking",Blurred or obscured subject,Question mark or teaser text,"Blur effect, circle highlight, red arrow, question mark",Reveals mysteries storytelling,Straightforward tutorials,Medium,Very High
9,Product Showcase,Review,"product, review, unbox, gadget, tech, item",Clean gradient or solid,Product name + verdict,Product hero image centered clean bg,"Reviews unboxing tech gadgets",Vlogs personal content,Medium,Medium
10,Comparison,Versus,"vs, versus, compare, battle, which, better",Split screen with VS badge,Brand/product names both sides,"Two subjects side by side, VS badge center, split colors",Comparison videos battles reviews,Single subject content,Medium,High
11,Meme,Trending,"meme, trend, viral, funny, relatable, format",Recognizable meme template,Impact or bold sans,"Known meme format, humor, relatable situation",Entertainment comedy trending,Professional educational,Low,High
12,Minimalist,Clean,"minimal, clean, simple, modern, tech, sleek",White or single color,Thin modern sans-serif,"Few elements, lots of whitespace, high contrast",Tech SaaS professional,Entertainment kids gaming,Low,Medium
13,Dark Dramatic,Gaming,"dark, dramatic, glow, neon, epic, intense",Dark black or deep blue,Bold with glow or neon effect,"Dark background, rim lighting, glow effects, dramatic",Gaming thriller action horror,Lifestyle cooking bright,High,Medium
14,Bright Pop,Fun,"bright, colorful, fun, kids, pop, saturated",Bright saturated solid colors,Rounded bold fun fonts,"Saturated colors, fun shapes, stickers, energetic",Kids lifestyle entertainment,Professional finance legal,Low,Medium
15,Screenshot,Demo,"screenshot, UI, demo, walkthrough, screen, app",Actual UI screenshot,Annotation arrows circles,"UI screenshot with annotations, highlights, callouts",Demos walkthroughs software,Non-tech entertainment,Medium,Low
16,Diagram,Explainer,"diagram, flowchart, architecture, system, map, excalidraw, sketch, mind map, process",White or light canvas with sketched diagram,Bold overlaid on whiteboard area,"Hand-drawn Excalidraw-style diagram with rough lines arrows and nodes, optional face pointing at diagram",Tech explainers system design architecture tutorials,Entertainment vlogs cooking,Medium,High
17,Whiteboard,Educational,"whiteboard, marker, sketch, draw, explain, teach, brainstorm, concept",White or light gray board,Dark text with white stroke,"Colorful marker-style sketches icons and annotations on whiteboard, process flow or concept map",Educational brainstorm concept explainer,Gaming entertainment lifestyle,Medium,Medium
